domain,n_runs,std_global,range_global,agreement_pct_global,n_questions,agreement_pct_avg_question,std_avg_question,range_avg_question,level_1_count,level_2_count,level_3_count,level_4_count,level_5_count,level_mode_global,level_mean_global
Arts,519,0.87,4,48.6,173,100.0,0.0,0,99,144,252,18,6,3,2.4
Education,510,0.84,4,44.7,170,100.0,0.0,0,60,171,228,48,3,3,2.54
Scientific,519,0.83,4,49.1,173,100.0,0.0,0,33,144,255,81,6,3,2.77
Wellness,510,0.84,4,54.1,170,100.0,0.0,0,57,114,276,60,3,3,2.68
Work,507,0.79,4,49.1,169,100.0,0.0,0,36,162,249,57,3,3,2.66
