dimension_code,n_runs,std_global,range_global,agreement_pct_global,n_questions,agreement_pct_avg_question,std_avg_question,range_avg_question,level_1_count,level_2_count,level_3_count,level_4_count,level_5_count,level_mode_global,level_mean_global
IDV,396,0.59,4,71.2,132,100.0,0.0,0,6,63,282,42,3,3,2.93
IVR,417,0.56,3,56.8,139,100.0,0.0,0,6,165,237,9,0,3,2.6
LTO,423,0.58,3,48.9,141,100.0,0.0,0,15,207,198,3,0,2,2.45
MAS,435,0.61,4,67.6,145,100.0,0.0,0,6,90,294,42,3,3,2.88
PDI,450,0.61,3,48.7,150,100.0,0.0,0,9,204,219,18,0,3,2.55
UAI,444,0.6,3,52.7,148,100.0,0.0,0,0,186,234,21,3,3,2.64
