model_id,size,country_ref,dimension,mean,sd,N,CI95_low,CI95_high,alpha,ICC_2k
Qwen_Qwen3-32B,XL,China,Individualism,52.58838383838384,20.850395774749384,396,50.52847717187062,54.64829050489706,-1.8512338008166163,0.9952700251751039
Qwen_Qwen3-32B,XL,China,Indulgence,39.86810551558753,17.006626664004813,417,38.23104923156529,41.50516179960977,-42.30434782608695,0.9981257469672462
Qwen_Qwen3-32B,XL,China,Long_Term_Orientation,37.29314420803782,20.570975856129614,423,35.32715940904355,39.259129007032094,0.2318602261048303,0.9965170252405466
Qwen_Qwen3-32B,XL,China,Masculinity,57.35632183908046,20.5881139994139,435,55.41618284196294,59.29646083619797,0.7431662870159452,0.9964747195687473
Qwen_Qwen3-32B,XL,China,Power_Distance,35.833333333333336,18.821781676526843,450,34.08962110231702,37.57704556434965,-6.879194630872485,0.9967576896276112
Qwen_Qwen3-32B,XL,China,Uncertainty_Avoidance,39.752252252252255,18.530844748837694,444,38.023869317512336,41.480635186992174,0.18572089029786687,0.9970161228463688
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,XL,China,Individualism,55.05050505050505,23.52746791687796,396,52.72611809249608,57.374892008514024,-134.01526717557252,0.9961327619443251
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,XL,China,Indulgence,39.02877697841727,19.251726613142022,417,37.17560758433469,40.88194637249985,-1.4463024897807504,0.9963099727660737
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,XL,China,Long_Term_Orientation,33.56973995271868,22.016780151194993,423,31.465578467975583,35.67390143746177,0.06205145565335147,0.9929130430868308
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,XL,China,Masculinity,57.41379310344828,23.538649325670978,435,55.19560781957486,59.631978387321695,0.029442820012995616,0.9958805405981419
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,XL,China,Power_Distance,37.44444444444444,24.479486030708273,450,35.176583732088346,39.71230515680054,0.05649910971099862,0.996039050713349
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,XL,China,Uncertainty_Avoidance,39.189189189189186,20.261167703826732,444,37.29941800110591,41.07896037727246,0.18032287541882422,0.9939303281121125
google_gemma-3-27b-it,XL,USA,Individualism,45.01262626262626,20.331115821657153,396,43.00402165525461,47.021230869997915,0.287895310796074,0.9998557530820958
google_gemma-3-27b-it,XL,USA,Indulgence,42.44604316546763,16.441551195068403,417,40.863380992967045,44.02870533796821,0.33574879227053134,0.9999208590541065
google_gemma-3-27b-it,XL,USA,Long_Term_Orientation,31.6193853427896,17.22555421763589,423,29.973125195338557,33.26564549024064,-1.0071428571428576,0.999929476924376
google_gemma-3-27b-it,XL,USA,Masculinity,53.160919540229884,17.057691187425828,435,51.55347303617154,54.76836604428823,-2.013888888888889,0.9998975199324417
google_gemma-3-27b-it,XL,USA,Power_Distance,31.666666666666668,15.740801393442306,450,30.20838665962703,33.124946673706305,-1.3422818791946307,0.9997333124498501
google_gemma-3-27b-it,XL,USA,Uncertainty_Avoidance,39.86486486486486,18.819079932548686,444,38.109598062742215,41.62013166698751,,1.0
mistralai_Mistral-7B-Instruct-v0.3,M,Europe-France,Individualism,41.224747474747474,29.87869981220259,396,38.27289305458152,44.176601894913425,0.6151251553346352,0.9990488565494731
mistralai_Mistral-7B-Instruct-v0.3,M,Europe-France,Indulgence,26.19904076738609,18.30566324310509,417,24.43693934437153,27.96114219040065,0.7027300303336704,0.9995769510598281
mistralai_Mistral-7B-Instruct-v0.3,M,Europe-France,Long_Term_Orientation,26.182033096926713,22.60619926360513,423,24.02154035092798,28.342525842925443,-0.4316326530612247,0.9991195983261634
mistralai_Mistral-7B-Instruct-v0.3,M,Europe-France,Masculinity,45.747126436781606,27.08504203600711,435,43.19474372245816,48.29950915110505,0.45675830469644896,0.9992437717451791
mistralai_Mistral-7B-Instruct-v0.3,M,Europe-France,Power_Distance,27.833333333333332,24.09902085637672,450,25.600720175611503,30.06594649105516,0.7182385493936184,0.9991754273225724
mistralai_Mistral-7B-Instruct-v0.3,M,Europe-France,Uncertainty_Avoidance,36.880630630630634,24.478980407044144,444,34.59746153775797,39.163799723503296,-4.0272108843537415,0.9994155905009231
