model_id,size,params_log,country_ref,MAE,RMSE,L2,L1,L_inf,Cosine,CosineDist,Pearson_r,Spearman_rho,R2_from_Pearson,Canberra,BrayCurtis,Bias
Qwen_Qwen3-32B,XL,10.505149978319906,China,21.28765703762867,25.951500646254352,63.567934642831055,127.725942225772,44.166666666666664,0.9030186771111981,0.0969813228888019,-0.06993618142214258,-0.48571428571428577,0.004891069471910842,1.2873511645656428,0.21919992524602788,-9.551409835554125
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,XL,10.505149978319906,China,21.806748952916685,26.54055309860997,65.01081258283742,130.84049371750012,43.43026004728132,0.896927383193083,0.10307261680691704,-0.0888498674937554,-0.3714285714285715,0.007894298953657891,1.3188614968331223,0.2249291602272916,-9.717258546879515
mistralai_Mistral-7B-Instruct-v0.3,M,9.845098040014255,Europe-France,30.071223522292893,33.48326484735532,82.01691379848941,180.42734113375735,49.119369369369366,0.9510263002087841,0.04897369979121591,0.029793273263427816,0.028571428571428574,0.0008876391317492828,1.820482525376828,0.3094453440950414,-29.15551471003236
google_gemma-3-27b-it,XL,10.431363764158988,USA,13.704915692892513,15.278998372312811,37.42574979298111,82.2294941573551,25.55395683453237,0.9910550979624717,0.00894490203752829,0.7234385449939718,0.6571428571428573,0.5233633283829949,0.8637736585120355,0.14432037691341054,-13.704915692892518
