model_id,size,MAE,L2,L1,L_inf,Cosine,CosineDist,comparison_group
mistralai_Mistral-7B-Instruct-v0.3,M,30.071223522292893,82.01691379848941,180.42734113375735,49.119369369369366,0.9510263002087841,0.04897369979121591,Europe
Qwen_Qwen3-32B,XL,21.28765703762867,63.567934642831055,127.725942225772,44.166666666666664,0.9030186771111981,0.0969813228888019,ChinaMean
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,XL,21.806748952916685,65.01081258283742,130.84049371750012,43.43026004728132,0.896927383193083,0.10307261680691704,ChinaMean
google_gemma-3-27b-it,XL,13.704915692892513,37.42574979298111,82.2294941573551,25.55395683453237,0.9910550979624717,0.00894490203752829,USAMean
