model_id,size,params_log,country_ref,Power_Distance,Individualism,Masculinity,Uncertainty_Avoidance,Long_Term_Orientation,Indulgence
Qwen_Qwen3-32B,XL,10.505149978319906,China,35.833333333333336,52.58838383838384,57.35632183908046,39.752252252252255,37.29314420803782,39.86810551558753
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,XL,10.505149978319906,China,37.44444444444444,55.05050505050505,57.41379310344828,39.189189189189186,33.56973995271868,39.02877697841727
google_gemma-3-27b-it,XL,10.431363764158988,USA,31.666666666666668,45.01262626262626,53.160919540229884,39.86486486486486,31.6193853427896,42.44604316546763
mistralai_Mistral-7B-Instruct-v0.3,M,9.845098040014255,Europe-France,27.833333333333332,41.224747474747474,45.747126436781606,36.880630630630634,26.182033096926713,26.19904076738609
