domain,n_runs,std_global,range_global,agreement_pct_global,n_questions,agreement_pct_avg_question,std_avg_question,range_avg_question,level_1_count,level_2_count,level_3_count,level_4_count,level_5_count,level_mode_global,level_mean_global
Arts,498,1.15,4,39.8,173,100.0,0.0,0,75,108,198,66,51,3,2.82
Education,504,1.11,4,43.5,170,100.0,0.0,0,75,108,219,57,45,3,2.78
Scientific,516,1.11,4,40.1,173,100.0,0.0,0,51,114,207,87,57,3,2.97
Wellness,480,1.15,4,41.2,170,100.0,0.0,0,60,99,198,66,57,3,2.92
Work,498,1.14,4,43.4,169,100.0,0.0,0,51,102,216,60,69,3,2.99
