dimension_code,n_runs,std_global,range_global,agreement_pct_global,n_questions,agreement_pct_avg_question,std_avg_question,range_avg_question,level_1_count,level_2_count,level_3_count,level_4_count,level_5_count,level_mode_global,level_mean_global
IDV,396,1.15,4,29.5,132,100.0,0.0,0,78,117,114,63,24,2,2.59
IVR,417,0.72,4,66.9,139,100.0,0.0,0,72,279,45,18,3,2,2.04
LTO,423,0.89,4,50.4,141,100.0,0.0,0,117,213,66,18,9,2,2.03
MAS,435,1.05,4,35.9,145,100.0,0.0,0,39,135,156,72,33,3,2.83
PDI,450,0.98,4,54.7,150,100.0,0.0,0,102,246,54,30,18,2,2.15
UAI,444,0.98,4,52.7,148,100.0,0.0,0,45,234,96,48,21,2,2.47
