model_id,size,params_log,country_ref,MAE,RMSE,L2,L1,L_inf,Cosine,CosineDist,Pearson_r,Spearman_rho,R2_from_Pearson,Canberra,BrayCurtis,Bias
Qwen_Qwen3-32B,XL,10.505149978319906,China,20.649301512952633,25.576784736065044,62.650071864364676,123.89580907771577,42.666666666666664,0.9055542073950217,0.09444579260497832,0.00467793636727612,-0.4285714285714286,2.18830886562845e-05,1.2468850177196924,0.21202647074091013,-9.276461373925441
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,XL,10.505149978319906,China,21.62280927068649,26.04765801627492,63.80347113438944,129.73685562411896,41.888888888888886,0.9000971888009723,0.09990281119902766,-0.0846168205419981,-0.4285714285714286,0.007160006318636711,1.30656025893014,0.22124603256602393,-8.934702753443286
mistralai_Mistral-7B-Instruct-v0.3,M,9.845098040014255,Europe-France,29.67765753633589,32.93634189795588,80.67723164384276,178.06594521801534,47.5990990990991,0.9514342210547005,0.048565778945299454,0.05314192134788301,0.028571428571428574,0.0028240638045445837,1.7894377921325746,0.30350804205092363,-28.551220754726696
google_gemma-3-27b-it,XL,10.431363764158988,USA,13.799172358682561,15.3170314801479,37.51891150050932,82.79503415209538,25.55395683453237,0.9913881427604299,0.008611857239570142,0.7329440861275555,0.7714285714285715,0.5372070333893575,0.8704303882659593,0.14545732929220226,-13.799172358682563
