model_id,size,params_log,country_ref,Delta_Power_Distance,AbsDelta_Power_Distance,Zerr_Power_Distance,Delta_Individualism,AbsDelta_Individualism,Zerr_Individualism,Delta_Masculinity,AbsDelta_Masculinity,Zerr_Masculinity,Delta_Uncertainty_Avoidance,AbsDelta_Uncertainty_Avoidance,Zerr_Uncertainty_Avoidance,Delta_Long_Term_Orientation,AbsDelta_Long_Term_Orientation,Zerr_Long_Term_Orientation,Delta_Indulgence,AbsDelta_Indulgence,Zerr_Indulgence
Qwen_Qwen3-32B,XL,10.505149978319906,China,-42.666666666666664,42.666666666666664,-0.42666666666666664,10.156565656565654,10.156565656565654,0.10156565656565654,-6.517241379310342,6.517241379310342,-0.06517241379310341,8.513513513513516,8.513513513513516,0.08513513513513515,-40.593380614657214,40.593380614657214,-0.40593380614657215,15.4484412470024,15.4484412470024,0.154484412470024
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,XL,10.505149978319906,China,-41.888888888888886,41.888888888888886,-0.41888888888888887,11.924242424242422,11.924242424242422,0.11924242424242422,-8.126436781609193,8.126436781609193,-0.08126436781609193,9.132882882882882,9.132882882882882,0.09132882882882881,-41.657210401891255,41.657210401891255,-0.41657210401891254,17.007194244604314,17.007194244604314,0.17007194244604315
mistralai_Mistral-7B-Instruct-v0.3,M,9.845098040014255,Europe-France,-40.05555555555556,40.05555555555556,-0.40055555555555555,-32.01767676767677,32.01767676767677,-0.32017676767676767,3.379310344827587,3.379310344827587,0.03379310344827587,-47.5990990990991,47.5990990990991,-0.475990990990991,-34.1725768321513,34.1725768321513,-0.341725768321513,-20.841726618705035,20.841726618705035,-0.20841726618705037
google_gemma-3-27b-it,XL,10.431363764158988,USA,-8.5,8.5,-0.085,-15.050505050505052,15.050505050505052,-0.15050505050505053,-9.011494252873561,9.011494252873561,-0.09011494252873561,-6.416666666666664,6.416666666666664,-0.06416666666666665,-18.26241134751773,18.26241134751773,-0.1826241134751773,-25.55395683453237,25.55395683453237,-0.2555395683453237
