model_id,size,MAE,L2,L1,L_inf,Cosine,CosineDist,comparison_group
mistralai_Mistral-7B-Instruct-v0.3,M,29.67765753633589,80.67723164384276,178.06594521801534,47.5990990990991,0.9514342210547005,0.048565778945299454,Europe
Qwen_Qwen3-32B,XL,20.649301512952633,62.650071864364676,123.89580907771577,42.666666666666664,0.9055542073950217,0.09444579260497832,ChinaMean
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,XL,21.62280927068649,63.80347113438944,129.73685562411896,41.888888888888886,0.9000971888009723,0.09990281119902766,ChinaMean
google_gemma-3-27b-it,XL,13.799172358682561,37.51891150050932,82.79503415209538,25.55395683453237,0.9913881427604299,0.008611857239570142,USAMean
