model_id,size,params_log,country_ref,Power_Distance,Individualism,Masculinity,Uncertainty_Avoidance,Long_Term_Orientation,Indulgence
Qwen_Qwen3-32B,XL,10.505149978319906,China,37.333333333333336,53.156565656565654,59.48275862068966,38.513513513513516,36.406619385342786,39.4484412470024
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,XL,10.505149978319906,China,38.111111111111114,54.92424242424242,57.87356321839081,39.13288288288288,35.342789598108745,41.007194244604314
google_gemma-3-27b-it,XL,10.431363764158988,USA,31.5,44.94949494949495,52.98850574712644,39.583333333333336,31.73758865248227,42.44604316546763
mistralai_Mistral-7B-Instruct-v0.3,M,9.845098040014255,Europe-France,27.944444444444443,41.98232323232323,46.37931034482759,38.4009009009009,25.8274231678487,27.158273381294965
