dimension_code,n_runs,std_global,range_global,agreement_pct_global,n_questions,agreement_pct_avg_question,std_avg_question,range_avg_question,level_1_count,level_2_count,level_3_count,level_4_count,level_5_count,level_mode_global,level_mean_global
IDV,396,0.85,4,51.5,132,100.0,0.0,0,9,18,204,117,48,3,3.45
IVR,417,0.68,3,45.3,139,100.0,0.0,0,24,189,183,21,0,2,2.48
LTO,423,0.8,4,48.9,141,100.0,0.0,0,27,156,207,21,12,3,2.61
MAS,435,0.65,3,63.4,145,100.0,0.0,0,0,27,276,111,21,3,3.29
PDI,450,0.85,4,44.0,150,100.0,0.0,0,27,198,180,27,18,2,2.58
UAI,444,0.77,4,53.4,148,100.0,0.0,0,18,132,237,48,9,3,2.77
