model_id,dimension,temperature,n,mean,sd,se,ci95_halfwidth
Qwen_Qwen3-32B,Individualism,0.0,396,54.54545454545455,21.306573646467864,1.0706956114152784,2.0985633983739453
Qwen_Qwen3-32B,Individualism,0.5,396,52.58838383838384,20.850395774749384,1.0477718108372014,2.0536327492409145
Qwen_Qwen3-32B,Individualism,1.0,396,53.156565656565654,21.848401322003483,1.097923476578643,2.15193001409414
Qwen_Qwen3-32B,Indulgence,0.0,417,41.36690647482014,17.689282888489867,0.8662479099590614,1.6978459035197604
Qwen_Qwen3-32B,Indulgence,0.5,417,39.86810551558753,17.006626664004813,0.8328180908189365,1.6323234580051156
Qwen_Qwen3-32B,Indulgence,1.0,417,39.4484412470024,17.918964323314484,0.8774954582134162,1.7198910980982958
Qwen_Qwen3-32B,Long_Term_Orientation,0.0,423,36.702127659574465,20.11957548600911,0.9782472357359888,1.917364582042538
Qwen_Qwen3-32B,Long_Term_Orientation,0.5,423,37.29314420803782,20.570975856129614,1.0001950727859135,1.9603823426603904
Qwen_Qwen3-32B,Long_Term_Orientation,1.0,423,36.406619385342786,20.25243894186884,0.9847072780224422,1.9300262649239865
Qwen_Qwen3-32B,Masculinity,0.0,435,57.58620689655172,19.12338769092369,0.9168962597875229,1.7971166691835447
Qwen_Qwen3-32B,Masculinity,0.5,435,57.35632183908046,20.5881139994139,0.9871245109516444,1.934764041465223
Qwen_Qwen3-32B,Masculinity,1.0,435,59.48275862068966,20.309166887235516,0.9737500206171583,1.9085500404096303
Qwen_Qwen3-32B,Power_Distance,0.0,450,36.5,19.5217028447805,0.920261897456867,1.8037133190154593
Qwen_Qwen3-32B,Power_Distance,0.5,450,35.833333333333336,18.821781676526843,0.8872672971656557,1.739043902444685
Qwen_Qwen3-32B,Power_Distance,1.0,450,37.333333333333336,19.40369399772214,0.9146989070572022,1.7928098578321163
Qwen_Qwen3-32B,Uncertainty_Avoidance,0.0,444,38.513513513513516,18.715459919477258,0.888196421337863,1.7408649858222116
Qwen_Qwen3-32B,Uncertainty_Avoidance,0.5,444,39.752252252252255,18.530844748837694,0.8794349730703753,1.7236925472179356
Qwen_Qwen3-32B,Uncertainty_Avoidance,1.0,444,38.513513513513516,19.955872250762575,0.9470637854513358,1.8562450194846183
