model_id,dimension,temperature,n,mean,sd,se,ci95_halfwidth
google_gemma-3-27b-it,Masculinity,1.0,435,52.98850574712644,17.04662503786068,0.8173231119836093,1.6019532994878742
google_gemma-3-27b-it,Power_Distance,0.0,450,31.666666666666668,15.47323286879722,0.7294151925603394,1.4296537774182652
google_gemma-3-27b-it,Power_Distance,0.5,450,31.666666666666668,15.740801393442306,0.7420284937742474,1.4543758477975248
google_gemma-3-27b-it,Power_Distance,1.0,450,31.5,15.499299502814662,0.7306439854721021,1.43206221152532
google_gemma-3-27b-it,Uncertainty_Avoidance,0.0,444,39.86486486486486,18.819079932548686,0.8931140095341993,1.7505034586870305
google_gemma-3-27b-it,Uncertainty_Avoidance,0.5,444,39.86486486486486,18.819079932548686,0.8931140095341993,1.7505034586870305
google_gemma-3-27b-it,Uncertainty_Avoidance,1.0,444,39.583333333333336,19.075584282692624,0.9052871672784202,1.7743628478657034
mistralai_Mistral-7B-Instruct-v0.3,Individualism,0.0,396,39.77272727272727,28.731826196637513,1.4438285914537983,2.8299040392494446
mistralai_Mistral-7B-Instruct-v0.3,Individualism,0.5,396,41.224747474747474,29.87869981220259,1.501461159102096,2.942863871840108
mistralai_Mistral-7B-Instruct-v0.3,Individualism,1.0,396,41.98232323232323,30.87003693570373,1.551277723941543,3.040504338925424
mistralai_Mistral-7B-Instruct-v0.3,Indulgence,0.0,417,26.07913669064748,17.981988082710753,0.880581744989366,1.7259402201791574
mistralai_Mistral-7B-Instruct-v0.3,Indulgence,0.5,417,26.19904076738609,18.30566324310509,0.8964321857881674,1.757007084144808
mistralai_Mistral-7B-Instruct-v0.3,Indulgence,1.0,417,27.158273381294965,20.469698169867275,1.0024054320866886,1.9647146468899097
mistralai_Mistral-7B-Instruct-v0.3,Long_Term_Orientation,0.0,423,25.70921985815603,22.296325863699348,1.0840844608475972,2.1248055432612905
mistralai_Mistral-7B-Instruct-v0.3,Long_Term_Orientation,0.5,423,26.182033096926713,22.60619926360513,1.0991510211284907,2.1543360014118416
mistralai_Mistral-7B-Instruct-v0.3,Long_Term_Orientation,1.0,423,25.8274231678487,23.139818264536242,1.1250964648064679,2.2051890710206767
mistralai_Mistral-7B-Instruct-v0.3,Masculinity,0.0,435,45.689655172413794,26.348125942165787,1.2632959452183505,2.476060052627967
mistralai_Mistral-7B-Instruct-v0.3,Masculinity,0.5,435,45.747126436781606,27.08504203600711,1.298628367545438,2.5453116003890583
mistralai_Mistral-7B-Instruct-v0.3,Masculinity,1.0,435,46.37931034482759,26.722779500339048,1.2812592084098504,2.511268048483307
mistralai_Mistral-7B-Instruct-v0.3,Power_Distance,0.0,450,28.666666666666668,24.417489806760475,1.1510515081275823,2.256060955930061
mistralai_Mistral-7B-Instruct-v0.3,Power_Distance,0.5,450,27.833333333333332,24.09902085637672,1.1360387378333345,2.2266359261533357
mistralai_Mistral-7B-Instruct-v0.3,Power_Distance,1.0,450,27.944444444444443,24.37291986949066,1.1489504611355459,2.25194290382567
mistralai_Mistral-7B-Instruct-v0.3,Uncertainty_Avoidance,0.0,444,36.82432432432432,24.419781480050204,1.1589115423159224,2.271466622939208
mistralai_Mistral-7B-Instruct-v0.3,Uncertainty_Avoidance,0.5,444,36.880630630630634,24.478980407044144,1.1617209990607356,2.2769731581590418
mistralai_Mistral-7B-Instruct-v0.3,Uncertainty_Avoidance,1.0,444,38.4009009009009,25.431474768347417,1.2069243810077441,2.3655717867751784
