Readable_Model,country_ref,CBI_neutral,CBI_Europe_France,CBI_China,CBI_USA
Deepseek Deepseek Qwen 1.5b,China,0.1437526521476818,0.32021004806087355,0.27789786301252234,0.17816714653678534
Ibm Granite Granite 3.3 2b,USA,0.19120092771748556,0.3112400379297741,0.30174694988943823,0.13118591653739384
Mistralai Mistral 7b,Europe-France,0.3241942333835481,0.44217121103497603,0.2994965701427666,0.34354983093204344
