dimension_code,n_runs,std_global,range_global,agreement_pct_global,n_questions,agreement_pct_avg_question,std_avg_question,range_avg_question,level_1_count,level_2_count,level_3_count,level_4_count,level_5_count,level_mode_global,level_mean_global
IDV,396,1.07,4,43.2,132,100.0,0.0,0,72,84,171,48,21,3,2.65
IVR,414,1.03,4,42.0,139,100.0,0.0,0,174,87,132,12,9,1,2.02
LTO,420,1.01,4,41.4,141,100.0,0.0,0,174,99,126,12,9,1,2.01
MAS,432,1.14,4,38.9,145,100.0,0.0,0,72,99,168,57,36,3,2.74
PDI,450,1.11,4,38.7,150,100.0,0.0,0,120,174,105,21,30,2,2.26
UAI,438,1.17,4,41.1,148,100.0,0.0,0,180,114,93,27,24,1,2.09
