dimension_code,n_runs,std_global,range_global,agreement_pct_global,n_questions,agreement_pct_avg_question,std_avg_question,range_avg_question,level_1_count,level_2_count,level_3_count,level_4_count,level_5_count,level_mode_global,level_mean_global
IDV,396,0.75,4,56.1,132,100.0,0.0,0,15,120,222,30,9,3,2.74
IVR,417,0.61,4,66.9,139,100.0,0.0,0,15,279,111,9,3,2,2.29
LTO,423,0.47,2,75.2,141,100.0,0.0,0,15,318,90,0,0,2,2.18
MAS,435,0.69,4,47.6,145,100.0,0.0,0,9,180,207,36,3,3,2.64
PDI,450,0.66,4,69.3,150,100.0,0.0,0,21,312,96,15,6,2,2.27
UAI,444,0.73,4,60.8,148,100.0,0.0,0,18,270,126,21,9,2,2.4
