domain,n_runs,std_global,range_global,agreement_pct_global,n_questions,agreement_pct_avg_question,std_avg_question,range_avg_question,level_1_count,level_2_count,level_3_count,level_4_count,level_5_count,level_mode_global,level_mean_global
Arts,519,0.83,4,52.6,173,100.0,0.0,0,39,147,273,48,12,3,2.71
Education,510,0.84,4,41.8,170,100.0,0.0,0,45,207,213,33,12,3,2.53
Scientific,519,0.93,4,43.9,173,100.0,0.0,0,24,165,228,69,33,3,2.85
Wellness,510,0.74,4,59.4,170,100.0,0.0,0,18,108,303,72,9,3,2.89
Work,507,0.84,4,49.1,169,100.0,0.0,0,15,162,249,57,24,3,2.83
