domain,n_runs,std_global,range_global,agreement_pct_global,n_questions,agreement_pct_avg_question,std_avg_question,range_avg_question,level_1_count,level_2_count,level_3_count,level_4_count,level_5_count,level_mode_global,level_mean_global
Arts,519,0.76,4,48.0,173,100.0,0.0,0,18,213,249,24,15,3,2.62
Education,510,0.76,4,44.7,170,100.0,0.0,0,21,222,228,27,12,3,2.58
Scientific,519,0.86,4,43.9,173,100.0,0.0,0,3,213,228,39,36,3,2.79
Wellness,510,0.68,4,56.5,170,100.0,0.0,0,3,177,288,30,12,3,2.75
Work,507,0.74,4,50.3,169,100.0,0.0,0,6,201,255,27,18,3,2.7
